,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
59,Rap Saved Me,"21 Savage, Offset, Metro Boomin, Quavo","atl hip hop, rap, trap","atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","hip hop, pop rap, rap, southern hip hop, trap","atl hip hop, hip hop, melodic rap, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Ghostface Killers,"21 Savage, Offset, Metro Boomin, Travis Scott","atl hip hop, rap, trap","atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","hip hop, pop rap, rap, southern hip hop, trap",rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Secret (feat. Summer Walker),"21 Savage, Summer Walker","atl hip hop, rap, trap","pop, r&b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Early in the Mornin',"22, Little Red, Tangle Eye & Hard Hair, Alan Lomax",,,,"appalachian folk, blues, spirituals, traditional blues, traditional folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","24kGoldn, Justin Bieber, J Balvin, iann dior",cali rap,"canadian pop, pop, post-teen pop","latin, reggaeton, reggaeton colombiano","melodic rap, pop rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mood (feat. iann dior),"24kGoldn, iann dior",cali rap,"melodic rap, pop rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Loyal To The Game,"2Pac, 50 Cent, Lloyd Banks, Young Buck","g funk, gangster rap, hip hop, rap, west coast rap","east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","gangster rap, hardcore hip hop, hip hop, pop rap, queens hip hop, rap, trap","crunk, dirty south rap, gangster rap, hip hop, nashville hip hop, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Thugz Mansion - 7 Remix,"2Pac, Anthony Hamilton","g funk, gangster rap, hip hop, rap, west coast rap","neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,All Eyez On Me (ft. Big Syke),"2Pac, Big Syke","g funk, gangster rap, hip hop, rap, west coast rap","g funk, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Picture Me Rollin' (ft. Danny Boy, CPO, Big Syke)","2Pac, Big Syke, C-PO, Danny Boy","g funk, gangster rap, hip hop, rap, west coast rap","g funk, west coast rap","comic, rap rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,I Ain't Mad At Cha,"2Pac, Danny Boy","g funk, gangster rap, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Picture Me Rollin',"2Pac, Danny Boy, Syke, C-PO","g funk, gangster rap, hip hop, rap, west coast rap",,"g funk, west coast rap","comic, rap rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
