,name,all artists,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y,genres_x,genres_y
11810,Sin Ti No Hay Vida,"Luis Mateus, David Rendon","ecuadorian pop, musica popular colombiana, vallenato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11811,Panama - 78 rpm Version,Luis Russell & His Louisiana Swing Orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11812,A Veracruz,"Luis Zamudio, Margarita Cueto",,classic colombian pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11813,Luis de Milan : Pavane VI,"Luis de Milan, Andrés Segovia",spanish renaissance,"classical guitar, guitarra clasica, historic classical performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11814,Pavane,"Luis de Milan, Julio Martinez Oyanguren",spanish renaissance,classical guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11815,Sambalamento,"Luiz Bonfá, Lalo Schifrin, Oscar Castro-Neves","bossa nova, brazilian jazz, jazz guitar, samba-jazz, violao","classic soundtrack, latin classical, latin soundtrack, lounge",bossa nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11816,Granada,Luiz Piçarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11817,Share That Love (feat. G-Eazy),"Lukas Graham, G-Eazy","danish pop, pop, scandipop","hip hop, indie pop rap, oakland hip hop, pop rap, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11818,Home Alone Tonight,"Luke Bryan, Karen Fairchild","contemporary country, country, country road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11819,Without You,"Luke Combs, Amanda Shires",contemporary country,"alternative country, folk, new americana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11820,"1, 2 Many","Luke Combs, Brooks & Dunn",contemporary country,"contemporary country, country, country road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11821,Does To Me (feat. Eric Church),"Luke Combs, Eric Church",contemporary country,"contemporary country, country, country road, modern country rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11822,"Organ Prelude, No. 1 ""The Phoenix""",Luke Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11823,B.R.S.O.B.,Luke Kaufman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11824,Spastik - Damolh33 Remix,Luke Shayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11825,Ain't No Mountain High Enough,"Luke Wade, Mia Z",deep talent show,calming instrumental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11826,O Último Por do Sol - Voice,"Lula Queiroga, Paulinho Moska","brazilian indie, manguebeat, nova mpb, nova musica pernambucana","mpb, nova mpb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11827,มองได้แต่อย่าชอบ - เพลงประกอบภาพยนตร์ ATM เออรัก..เออเร่อ,"Lula, เต๋อ ฉันทวิชช์ ป๊อป Calories Blah Blah โจ๊ก So Cool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11828,To Sir with Love,Lulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11829,"Never Leave You (Uh Oooh, Uh Oooh) - Uh Oooh Remix","Lumidee, Busta Rhymes, Fabolous",hip pop,"east coast hip hop, hardcore hip hop, hip hop, hip pop, pop rap, rap","dance pop, gangster rap, hip hop, hip pop, pop rap, r&b, rap, trap, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11830,Victoria,"Lunay, Beéle","latin, latin pop, reggaeton, reggaeton flow, trap latino, tropical",reggaeton colombiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11831,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny","latin, latin pop, reggaeton, reggaeton flow, trap latino, tropical","latin, latin hip hop, reggaeton, trap latino, tropical","latin, reggaeton, trap latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11832,La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro","latin, latin pop, reggaeton, reggaeton flow, trap latino, tropical",trap latino,"latin, puerto rican pop, reggaeton, trap latino","reggaeton, trap latino","puerto rican pop, trap latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11833,Aventura,"Lunay, Ozuna, Anuel AA","latin, latin pop, reggaeton, reggaeton flow, trap latino, tropical","latin, puerto rican pop, reggaeton, trap latino","latin, reggaeton, reggaeton flow, trap latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11834,I Got 5 On It,"Luniz, Michael Marshall","g funk, gangster rap, hyphy, oakland hip hop, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11835,Cójela Que Va Sin Jockey,"Luny Tunes, Noriega, Daddy Yankee","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","latin, latin hip hop, reggaeton, trap latino, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11836,Entre Tú y Yo,"Luny Tunes, Noriega, Don Omar","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","latin, latin hip hop, puerto rican pop, reggaeton, trap latino, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11837,Busco una Mujer,"Luny Tunes, Noriega, Guanabanas","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","latin hip hop, reggaeton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11838,Cae la Noche,"Luny Tunes, Noriega, Hector & Tito","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","latin, latin hip hop, perreo, reggaeton, reggaeton flow, trap latino, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11839,Métele Sazón,"Luny Tunes, Noriega, Tego Calderon","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","latin, latin hip hop, perreo, reggaeton, reggaeton flow, trap latino, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11840,Aventura,"Luny Tunes, Noriega, Wisin & Yandel","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","electro latino, latin, latin hip hop, reggaeton, trap latino, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11841,Hay Algo en Ti,"Luny Tunes, Noriega, Zion & Lennox, Tito El Bambino","latin, latin hip hop, reggaeton, reggaeton flow, trap latino, tropical","latin hip hop, reggaeton","latin, latin hip hop, reggaeton, trap latino, tropical","latin, latin hip hop, latin pop, reggaeton, reggaeton flow, trap latino, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11842,Little Weapon (feat. Bishop G & Nikki Jean),"Lupe Fiasco, Bishop G, Nikki Jean","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",mississippi indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11843,Battle Scars,"Lupe Fiasco, Guy Sebastian","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop","australian pop, australian talent show",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11844,Daydreamin' (feat. Jill Scott),"Lupe Fiasco, Jill Scott","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop","hip pop, neo soul, quiet storm, r&b, soul, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11845,Superstar (feat. Matthew Santos),"Lupe Fiasco, Matthew Santos","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11846,Hip-Hop Saved My Life (feat. Nikki Jean),"Lupe Fiasco, Nikki Jean","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11847,Words I Never Said (feat. Skylar Grey),"Lupe Fiasco, Skylar Grey","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop","electropop, piano rock, viral pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11848,Out of My Head (feat. Trey Songz),"Lupe Fiasco, Trey Songz","chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop","dance pop, pop, r&b, trap, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11849,Tu Nuevo Cariñito,"Lupe Mendoza, Lalo Mora",,"corrido, norteno, regional mexican",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11850,Para Que Me Sirvo el Vino,"Lupe Rodriguez, Vidal Valdez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11851,Baraja de Oro,"Lupillo Rivera, Chalino Sanchez","banda, corrido, deep regional mexican, norteno, nuevo regional mexicano, regional mexican","corrido, deep regional mexican, norteno, nuevo regional mexicano, regional mexican",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11852,Baile en el bosque/Eres t£ el Pr¡ncipe Azul,"Lupita P\x82rez, Alejandro Algara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11853,Blue & Sentimental,Lurlean Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11854,Scotty Doesn't Know,Lustra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11855,I'm Still Holding On,"Luther Barnes, The Red Budd Gospel Choir","contemporary gospel, gospel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11856,Somebody Have Mercy,Luther Guitar Junior Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11857,The Closer I Get to You (feat. Beyoncé Knowles),"Luther Vandross, Beyoncé","funk, motown, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary","dance pop, pop, post-teen pop, r&b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11858,If This World Were Mine (with Luther Vandross),"Luther Vandross, Cheryl Lynn","funk, motown, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary","disco, funk, minneapolis sound, motown, post-disco, quiet storm, soul, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11859,There's Nothing Better Than Love,"Luther Vandross, Gregory Hines","funk, motown, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11860,Endless Love (with Mariah Carey),"Luther Vandross, Mariah Carey","funk, motown, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary","dance pop, pop, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11861,2 Step - Feat. T-Pain & Jim Jones - Remix,Lydell Lucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11862,Hypothetically (feat. Erin),"Lyfe Jennings, Erin","hip pop, neo soul, new jack swing, pop r&b, pop rap, r&b, urban contemporary",indie cafe pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11863,S.E.X. (feat. LaLa Brown),"Lyfe Jennings, LaLa Brown","hip pop, neo soul, new jack swing, pop r&b, pop rap, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11864,I Follow Rivers - The Magician Remix,"Lykke Li, The Magician","art pop, dance pop, electropop, pop, swedish electropop, swedish indie pop, swedish pop","belgian edm, deep groove house, edm, house, pop dance, tropical house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11865,Take Me With You,Lyn Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11866,Mama Feelgood,"Lyn Collins, The J.B.s","funk, soul","atl hip hop, crunk, dirty south rap, gangster rap, pop rap, rap, southern hip hop, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11867,Producer Man,Lyn Lapid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11868,Main Theme [From To Catch a Thief) (1955),Lyn Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11869,Bless the Lord,"Lynne Thigpen, Godspell Ensemble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11870,Railroad Song,"Lynyrd Skynyrd, Al Kooper","album rock, blues rock, classic rock, country rock, hard rock, mellow gold, rock, soft rock, southern rock","blues, blues rock, classic rock, country rock, electric blues, folk rock, psychedelic rock, rock keyboard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11871,Callin' Out,"Lyrics Born, Joyo Velarde, Gift Of Gab, Blackalicious","alternative hip hop, turntablism",,"abstract hip hop, alternative hip hop, underground rap","alternative hip hop, hip hop, turntablism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11872,Золушка,"Lyudmila Senchina, Анатолий Бадхен, Ленинградский концертный оркестр",bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11873,"Lakmé / Act 1: ""Sous le dôme épais"" (Flower Duet)","Léo Delibes, BBC Concert Orchestra, Barry Wordsworth","classical, french opera, french romanticism, late romantic era","british orchestra, orchestra","classical performance, orchestral performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11874,"Lakmé / Act 1: ""Viens, Mallika, ... Dôme épais"" (Flower Duet)","Léo Delibes, Dame Joan Sutherland, Jane Berbié, Orchestre National de lOpéra de Monte-Carlo, Richard Bonynge","classical, french opera, french romanticism, late romantic era","classical soprano, opera","classical mezzo-soprano, opera",,"classical performance, opera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11875,"Delibes: Lakmé, Act 2: ""Où va la jeune indoue"" (Lakmé)","Léo Delibes, Maria Callas, Tullio Serafin, Philharmonia Orchestra","classical, french opera, french romanticism, late romantic era","classical soprano, opera","opera, orchestral performance","british orchestra, classical, classical performance, opera, orchestra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11876,Sylvia: Pizzicato,"Léo Delibes, Slovak Philharmonic, Ondrej Lenard","classical, french opera, french romanticism, late romantic era",orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11877,Pensando Em Ti,Léo Peracchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11878,Près De Toi Ma Brune,Léon Raiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11879,"Pop Muzik - Nik Launay '79 12""","M, Robin Scott","dfw rap, melodic rap, rap","new americana, southern americana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11880,Sahara Besaharon Ka Ho Tum,M. Faruqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11881,Aneinu,M. Hershman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11882,Bahot Mayoos Ho Kar,M. Jeevan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11883,Piravikkadal Thaandi,M. K. Thyagaraja Bhagavathar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11884,Vasantha Ruthu,"M. K. Thyagaraja Bhagavathar, S.Jayalakshmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11885,Apna Jeevan Ban Gaya,M. Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11886,Kaani Nilam Vendum,"M. L. Vasanthakumari, C. S. Jayaraman","carnatic, carnatic vocal, indian classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11887,Enna Anandam,"M. L. Vasanthakumari, M. K. Thyagaraja Bhagavathar","carnatic, carnatic vocal, indian classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11888,Paavi Ennum Padubavi,"M. L. Vasanthakumari, V.N. Sundaram","carnatic, carnatic vocal, indian classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11889,Séduction,M. Malloire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11890,Oudarik,M. N. Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11891,Jadi E Amar Hriday Duyar,"M. N. Ghosh, Monta Babu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11892,Guru Brahma,M. N. Ramachandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11893,Brahmanandam Mannatho Sree (Slokas),"M. N. Ramachandra, Pankaja Ramachandra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11894,Karunamurthi Gandhi Mahatma,M. S. Rajeswari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11895,Jeevithaminthele,M. S. Rama Rao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11896,Chalo Chalo Raja,"M. S. Rama Rao, Krishnaveni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11897,Nandabala,"M. S. Subbulakshmi, Baby Radha","carnatic, carnatic vocal, hindustani classical, indian classical, mantra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11898,Ghanshyam Aaya Re,"M. S. Subbulakshmi, Chittoor V. Nagaiah","carnatic, carnatic vocal, hindustani classical, indian classical, mantra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11899,Premayil,"M. S. Subbulakshmi, G. N. Balasubramaniam","carnatic, carnatic vocal, hindustani classical, indian classical, mantra","carnatic, carnatic vocal, indian classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11900,Bhavayami Goralabalam,"M. S. Subbulakshmi, Radha Viswanathan","carnatic, carnatic vocal, hindustani classical, indian classical, mantra","carnatic vocal, indian classical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11901,Tujhe Kya Bataoon Ki,M. Sharif Qawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11902,"Satya Harishchandra, Pt. 4 - Dialogues","M. V. Subbaiah Naidu, Lakshmi Bai, R. Nagendra Rao, Ganapathibhat, Kamala Bai, B.S. Raja Iyengar, G. V. Krishnamurthy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11903,Illimani (Tango),"M.Carlos Romero, Orquesta de E.Werner, A.Loraarrero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11904,Il Pericolo N.1,"M.Cozzoli, E.Bonagura",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11905,Soja Soja Chandni,M.G.Shreekumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11906,Come Around,"M.I.A., Timbaland","dance pop, escape room, indietronica, new rave","dance pop, hip hop, hip pop, pop, pop dance, pop rap, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11907,Veeraadum,M.M.Dandapani Desikar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11908,Sara Barash Dekhini Ma,M.N.Ghosh (Manta Babu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11909,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix","M.O.P., Busta Rhymes, Teflon, Remi Martin","alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","east coast hip hop, hardcore hip hop, hip hop, hip pop, pop rap, rap",trap soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910,Casetta In Canadà,"M.Panzeri, V.Mascheroni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11911,Aveva Un Bavero,"M.Panzeri, V.Ripa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11912,Tharro,M.Thomakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11913,Thadavaayanika Levara,M.V. Rajamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11914,Devadhwaniya Gaanavidhu,"M.V. Rajamma, Kalinga Rao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11915,Five Bottles Mambo - Remastered,"M.Vivanco, Billy May, Yma Sumac",,"adult standards, big band, easy listening, exotica, laboratorio, lounge, swing","exotica, lounge, space age pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11916,Oblivion,"M83, Susanne Sundfør","french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop","art pop, electropop, metropopolis, norwegian indie, norwegian pop, norwegian rock, norwegian singer-songwriter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11917,Party Till We Die (feat. Andrew W.K.),"MAKJ, Timmy Trumpet, Andrew W.K.","big room, deep big room, edm, electro house, melbourne bounce","australian dance, edm, melbourne bounce, melbourne bounce international, pop dance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11918,WINGS OF FIRE,"MAKO, SAYUKI","big room, edm, electro house, indie poptimism, pop dance, pop edm, tropical house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11919,SPARK IN THE DARK,MAN POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11920,Gibberish,"MAX, Hoodie Allen","dance pop, pop","indie pop rap, pop rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11921,Wrong,"MAX, Lil Uzi Vert","dance pop, pop","melodic rap, philly rap, rap, trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11922,Love Me Less (feat. Quinn XCII),"MAX, Quinn XCII","dance pop, pop","indie pop rap, pop, pop rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11923,Blueberry Eyes (feat. SUGA of BTS),"MAX, SUGA","dance pop, pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11924,Lights Down Low,"MAX, gnash","dance pop, pop",pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11925,Bless this House,"MAY H. BRAE, Mormon Tabernacle Choir",,"american choir, lds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11926,Ain't No Future In Yo' Frontin',"MC Breed, DFC","flint hip hop, gangster rap","brazilian punk, flint hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11927,All for the Money (feat. CMW),"MC Eiht, Comptons Most Wanted","g funk, gangster rap, hardcore hip hop, hip hop, west coast rap, west coast trap","g funk, gangster rap, hardcore hip hop, hip hop, rap, west coast rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11928,Bum Bum Tam Tam,"MC Fioti, Future, J Balvin, Stefflon Don, Juan Magán","funk carioca, funk paulista","atl hip hop, pop rap, rap, southern hip hop, trap","latin, reggaeton, reggaeton colombiano","dancehall, uk dancehall, uk hip hop","dance pop, electro latino, latin, latin pop, reggaeton, spanish pop, tropical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11929,Turn This Mutha Out,"MC Hammer, James Earley, The Lone Mixer, D.J. Redeemed","hip hop, hip house, new jack swing, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11930,Too Legit To Quit,"MC Hammer, Saja","hip hop, hip house, new jack swing, rap","christian hip hop, christian pop, christian trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11931,"Keep On, Keepin' On (feat. Xscape)","MC Lyte, Xscape","east coast hip hop, electro, gangster rap, hardcore hip hop, hip hop, hip house, hip pop, new jack swing, old school hip hop, rap","atl hip hop, dance pop, girl group, hip pop, neo soul, new jack swing, pop r&b, quiet storm, r&b, urban contemporary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11932,Sexy Lady,"MC Magic, DJ Kane","chicano rap, latin hip hop",cumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11933,Crazy for You,"MC Magic, Gemini","chicano rap, latin hip hop","dance pop, hyphy, pop rap, rap, southern hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11934,Lies,"MC Magic, Krystal Melody","chicano rap, latin hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11935,All My Life,"MC Magic, Nichole","chicano rap, latin hip hop","ccm, christian alternative rock, christian music, worship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11936,Girl I Love You,"MC Magic, Zig-Zag","chicano rap, latin hip hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11937,Holiday Rap - Version 1986,MC Miker & DJ Sven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11938,Anime Thighs,"MC Virgins, Wonder","meme rap, sad rap","funk, motown, quiet storm, soul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11939,Trap Anthem,"MC Virgins, Yun Head","meme rap, sad rap",meme rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11940,Press Start,MDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11941,No Puedo Olvidarme Ti,MDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11942,Der Zigeunerbaron: Fern am fremden Strand,"MDR Leipzig Radio Chorus, Rundfunk-Sinfonieorchester Leipzig, Martin Ritzmann, Heinz Rögner",german choir,german orchestra,,orchestral performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11943,Knock Knock,"MED, Blu, Madlib, MF DOOM","edm, pop dance, pop house, tropical house","cali rap, trap","alternative hip hop, funk, hip hop, psychedelic hip hop","alternative hip hop, east coast hip hop, hip hop, rap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11944,Lose Control,"MEDUZA, Becky Hill, Goodboys","edm, pop dance, pop house, tropical house","dance pop, house, pop, pop dance, pop house, tropical house, uk dance, uk pop",uk dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
